,common_pathways,common_phenotypes,Co-expression_coefficient,PPI_network_dist,PWY_network_dist,Txt_network_dist,LoFintolerance_combined,Haploinsufficiency_combined,Age_combined,dN/dS_combined,Essentiality_combined,#ofpathways_combined,#ofPhenotypeCodes_combined,#ofNeighborsPPI_combined,#ofNeighborsPWY_combined,#ofNeighborsTxt_combined,#ofHighlyCoexpressed_combined,#Common_PPI_Neighbors,#common_PWY_neighbors,#Common_Txt_Neighbors,#Common_coexpressed
"('ARL6', 'TTC8')",1.0,0.75,0.0009814987485890956,1.0,0.0,0.3333333333333333,0.24424812855393363,0.5251288501594756,910.0,0.11779156414891627,0.5,1.0,56.00892785976178,17.11724276862369,0.0,31.016124838541646,23.323807579381203,0.3076923076923077,0.0,0.0,0.0
"('BBS1', 'BBS10')",1.0,0.4090909090909091,0.0002716173454836826,1.0,0.0,0.0,1.2586232068598934e-07,0.12536062399751735,655.4049168262319,0.3784592627750666,0.75,1.0,49.01530373260988,36.124783736376884,0.0,1.5811388300841898,20.0124960961895,0.22033898305084745,0.0,0.5,0.0
"('BBS2', 'MKKS')",1.0,0.2796610169491525,0.0008772237622372715,1.0,0.0,1.0,2.998954054106386e-09,0.38307659590320814,683.1545396175012,0.2828337568745601,0.5,1.0,78.23362448461658,29.274562336608895,0.7071067811865476,33.26409475695979,16.446884203398525,0.28888888888888886,0.0,0.020833333333333332,0.0
"('BBS1', 'TTC8')",1.0,0.33707865168539325,0.003697951334960432,1.0,0.0,0.3333333333333333,0.24422945797674864,0.28162420755770895,910.0,0.06263787570010834,0.6373774391990981,1.0,59.552497848536966,30.675723300355934,0.0,12.806248474865697,24.9899979991996,0.38095238095238093,0.0,0.0,0.0
"('BBS10', 'BBS12')",1.0,0.90625,0.007548309178743962,1.0,0.0,0.0,2.778458088418569e-07,0.04299519377689777,284.1449014147535,0.481121696060106,0.6373774391990981,1.0,30.504098085339287,25.079872407968907,0.0,1.0,26.61766330841233,0.3142857142857143,0.0,1.0,0.08163265306122448
"('BBS1', 'CCDC28B')",0.0,0.0,0.001033228632831873,1.0,0.0,0.0,1.4417630221528686e-07,0.13289435237190902,855.368049438369,0.14582113176469247,0.6373774391990981,0.7071067811865476,43.840620433565945,28.30194339616981,0.0,1.4142135623730951,10.700467279516348,0.14285714285714285,0.0,0.0,0.13333333333333333
"('BBS10', 'MKKS')",1.0,0.29591836734693877,0.0017342143142049494,1.0,0.0,0.0,5.654868675708442e-09,0.13643328462534351,261.06652408916773,0.45972020518187917,0.6373774391990981,1.0,71.33372274037013,29.274562336608895,0.7071067811865476,1.5811388300841898,18.384776310850235,0.28888888888888886,0.0,0.0,0.0
"('BBS12', 'BBS4')",1.0,0.4264705882352941,0.005009016229212583,1.0,0.0,0.0,9.971472421016632e-05,0.23640042527530158,692.302477245315,0.32014212705137,0.5,1.0,51.90857347298228,27.064737205448715,0.0,3.605551275463989,21.095023109728988,0.2564102564102564,0.0,0.2,0.02857142857142857
"('BBS2', 'BBS12')",1.0,0.46551724137931033,0.002168021680216802,1.0,0.0,0.0,2.778044450268296e-07,0.3605304756370019,692.302477245315,0.31643380570833723,0.5,1.0,44.30011286667337,25.079872407968907,0.0,33.24154027718932,25.317977802344327,0.2777777777777778,0.0,0.02127659574468085,0.02040816326530612
"('BBS1', 'BBS4')",1.0,0.9253731343283582,0.0011981357008494782,1.0,0.0,0.0,9.971441654715635e-05,0.26410577508164673,910.0,0.11934952313884369,0.6373774391990981,1.0,64.54843142943135,37.52998800959041,0.0,3.8078865529319543,11.704699910719626,0.7441860465116279,0.0,0.16666666666666666,0.0
