,common_pathways,common_phenotypes,Co-expression_coefficient,PPI_network_dist,PWY_network_dist,Txt_network_dist,LoFintolerance_combined,Haploinsufficiency_combined,Age_combined,dN/dS_combined,Essentiality_combined,#ofpathways_combined,#ofPhenotypeCodes_combined,#ofNeighborsPPI_combined,#ofNeighborsPWY_combined,#ofNeighborsTxt_combined,#ofHighlyCoexpressed_combined,#Common_PPI_Neighbors,#common_PWY_neighbors,#Common_Txt_Neighbors,#Common_coexpressed
"('CASZ1', 'VPREB1')",0.0,0.0,0.00011310886502040482,0.3333333333333333,0.0,0.25,0.7070639156662744,0.4137038711371587,615.407198527934,0.41606101271346524,0.6373774391990981,0.7071067811865476,0.0,3.605551275463989,0.0,1.5811388300841898,6.519202405202649,0.0,0.0,0.0,0.0
"('DCAF13', 'EXOC8')",0.0,0.0,0.00031567250871256125,0.5,0.0,0.0,0.6979943468911515,0.4193266674756318,1503.6302737042774,0.18066248496083026,0.75,3.0,0.0,79.81227975693966,7.0710678118654755,1.4142135623730951,125.06998041096833,0.006535947712418301,0.0,0.0,0.0
"('MIR106A', 'PBX1')",0.0,0.0,0.0,0.0,0.0,0.0,0.6438788139336377,0.7033024682149112,643.4671708797582,0.046315494167718865,0.3535533905932738,292.03510063004416,0.0,34.64823227814083,11.313708498984761,74.95665414091,22.627416997969522,0.0,0.0,0.0,0.0
"('ABI1', 'CSNK1D')",0.0,0.0,0.0006083576169415429,0.5,0.3333333333333333,0.5,0.8319529300336209,0.5698037833046339,1318.8032453705898,0.08084596794748768,0.6373774391990981,101.84547118060773,0.7071067811865476,253.41073379002714,85.39613574395507,144.12841496387864,122.6234072271685,0.016091954022988506,0.0,0.017857142857142856,0.0
"('ID4', 'RNF5')",0.0,0.0,8.634378121867339e-05,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.10570170173377419,0.3440437966877512,1195.2081743361698,0.1657574988150678,0.75,15.620499351813308,0.0,57.688820407423826,6.082762530298219,26.68332812825267,31.76476034853718,0.0,0.0,0.0196078431372549,0.0
"('RCSD1', 'TTPAL')",0.0,0.0,7.75863807970604e-05,0.3333333333333333,0.0,0.0,0.4595003578429146,0.09868381745350849,676.6184892537301,0.2981254976464421,0.6373774391990981,0.0,0.0,94.21517924411118,0.0,0.0,10.295630140987,0.0,0.0,0.0,0.0
"('POU3F3', 'ZMYM5')",0.0,0.0,6.475291582379955e-05,0.3333333333333333,0.0,0.0,0.14168873774578514,0.2509476483016343,176.1,0.43124674817614567,0.6373774391990981,0.0,0.0,6.0,0.7071067811865476,3.5355339059327378,2.5495097567963922,0.0,0.0,0.0,0.0
"('ABCA10', 'OR51G1')",0.0,0.0,0.0,0.0,0.0,0.0,4.3543797185199187e-05,0.011212514126233955,599.3541357161057,0.42602472052687274,0.5303300858899106,36.49657518178932,0.0,1.4142135623730951,4.242640687119285,4.949747468305833,0.0,0.0,0.0,0.0,0.0
"('ANKRD18A', 'SKA2')",0.0,0.0,0.00016386914720857102,0.5,0.0,0.0,0.0007567095131195083,0.22895233558515576,230.40877804458754,0.8965094040612446,0.6373774391990981,3.5355339059327378,0.0,71.449282711585,65.05382386916237,35.35533905932738,41.6473288459176,0.0070921985815602835,0.0,0.0,0.0
"('GIMAP6', 'RNF144B')",0.0,0.0,0.000462950103237873,0.3333333333333333,0.0,0.0,0.0715528602452749,0.09421968470564997,68.87220048756973,0.36096564630056394,0.5,0.7071067811865476,0.0,31.12073263919087,1.4142135623730951,1.4142135623730951,47.01595473879053,0.0,0.0,0.0,0.01282051282051282
