,common_pathways,common_phenotypes,Co-expression_coefficient,PPI_network_dist,PWY_network_dist,Txt_network_dist,LoFintolerance_combined,Haploinsufficiency_combined,Age_combined,dN/dS_combined,Essentiality_combined,#ofpathways_combined,#ofPhenotypeCodes_combined,#ofNeighborsPPI_combined,#ofNeighborsPWY_combined,#ofNeighborsTxt_combined,#ofHighlyCoexpressed_combined,#Common_PPI_Neighbors,#common_PWY_neighbors,#Common_Txt_Neighbors,#Common_coexpressed
"('CASP14', 'SDAD1')",0.0,0.0,5.758000453730436e-05,0.5,0.0,0.3333333333333333,0.0008724857337151757,0.16388908853889742,1161.6522801596009,0.2646610124869401,0.6373774391990981,0.7071067811865476,1.4142135623730951,157.67847031221478,2.1213203435596424,1305.3193095943996,38.27531841800928,0.003246753246753247,0.0,0.0,0.0
"('GNAT2', 'KDM5C')",0.0,0.013888888888888888,9.403153629664317e-05,0.5,0.0,0.0,0.7056048315425358,0.4979240464006387,1000.4722484906815,0.12631785781898633,0.75,11226.027280387305,40.92065493122025,33.52610922848042,33.94112549695428,41.773197148410844,5.0990195135927845,0.015873015873015872,0.0,0.0,0.0
"('G3BP2', 'LRRC57')",0.0,0.0,0.0010560554217885355,0.5,0.0,0.0,0.6951889611416145,0.570978914716446,719.2917210701094,0.11091153256337033,0.6373774391990981,0.0,0.0,76.38062581571324,2.1213203435596424,4.527692569068709,22.67156809750927,0.009174311926605505,0.0,0.0,0.0
"('STRA13', 'TSSK4')",0.0,0.0,5.392006996668278e-05,0.3333333333333333,0.0,0.0,0.41858382844433323,0.12360504037996696,140.16456399532657,0.36683178941906747,0.3535533905932738,0.0,0.0,11.510864433221338,0.0,7.106335201775948,41.743262929483606,0.0,0.0,0.0,0.0
"('CRB2', 'MBD5')",0.0,0.013157894736842105,7.064935945758248e-05,0.3333333333333333,0.0,0.0,0.7070023654517654,0.5020431175883601,719.2917210701094,0.3000499172012884,0.5,1.0,46.17899955607527,147.08500943332058,0.0,11.510864433221338,5.830951894845301,0.0,0.0,0.0,0.0
"('CPOX', 'PSMA1')",0.0,0.0,0.00047370689859356415,0.5,0.16666666666666666,0.5,0.6705302101797678,0.4148620446276727,1628.0,0.16921741087310208,0.75,72443.25676003254,24.748737341529164,395.43457107339515,47.634021455258214,345.126788296707,55.71355310873648,0.0070052539404553416,0.0,0.10499139414802065,0.0
"('MINPP1', 'PHC1')",0.0,0.0,0.00011418510089966442,0.5,0.0,0.0,0.7748541459590237,0.15131228684806738,454.6,0.22514946772250716,0.6373774391990981,1281.2845117303182,16.0312195418814,55.90169943749474,18.384776310850235,31.12073263919087,18.506755523321747,0.012345679012345678,0.0,0.0,0.0
"('COL10A1', 'PITPNM2')",0.0,0.0,0.00012157345224837943,0.3333333333333333,0.0,0.0,0.7071022799794635,0.3126889732072209,662.0377783782433,0.22826516629263688,0.6373774391990981,29088.25166626554,21.213203435596427,42.573465914816005,7.7781745930520225,12.020815280171307,72.84572739701348,0.0,0.0,0.0,0.0
"('GABRD', 'GATA5')",0.0,0.04081632653061224,0.00032843418999917894,0.3333333333333333,0.0,0.0,0.6766543374425033,0.18826538000594767,394.94392639968527,0.24727969694398702,0.6373774391990981,3.605551275463989,64.20280367709809,22.80350850198276,2.8284271247461903,115.96551211459379,3.0,0.0,0.0,0.0,0.0
"('DIS3L2', 'PAK1')",0.0,0.0,0.00010763382112981069,0.5,0.0,0.0,0.7732602505532188,0.6594269322273311,967.322076663197,0.26416425901282686,0.6373774391990981,4145.767058096728,25.45584412271571,112.89818421923357,125.86500705120545,325.2691193458119,40.19950248448356,0.021505376344086023,0.0,0.0,0.0
"('IFNA5', 'IGLV3-27')",0.0,0.0,0.0,0.0,0.0,0.0,0.004833824998618147,0.00017487033541455796,68.87220048756973,0.32951176003293114,0.6373774391990981,1299.711506450566,0.0,1.4142135623730951,25.45584412271571,203.64675298172568,7.0710678118654755,0.0,0.0,0.0,0.0
"('GABRA3', 'KCNJ13')",0.0,0.0,0.00025328767400863204,0.0,0.0,0.0,0.5697759935877943,0.3832635989168287,454.6,0.138820221034546,0.6373774391990981,1230.3660024561798,30.008332176247315,26.870057685088806,20.506096654409877,10.63014581273465,3.5355339059327378,0.0,0.0,0.0,0.0
"('CCDC8', 'EHHADH')",0.0,0.01818181818181818,6.808010032283584e-05,0.5,0.0,0.25,0.11836755601468886,0.037301231545662596,599.3541357161057,0.42105734330615924,0.5,446.1849392348424,33.28663395418648,111.09680463451683,19.091883092036785,19.300259065618782,9.433981132056603,0.004545454545454545,0.0,0.03333333333333333,0.0
"('GAB1', 'GATA6')",0.0,0.0,0.00021072861526012343,0.3333333333333333,0.3333333333333333,0.0,0.4851346597899827,0.6656831653976123,454.6,0.17960420708272412,0.75,41152.20047579473,49.49747468305833,112.05802068571441,107.20074626605917,178.31713322056297,17.029386365926403,0.0,0.0,0.10862619808306709,0.0
"('COX7B', 'POLR2E')",0.029850746268656716,0.0,0.00025770207063613757,0.5,0.25,0.3333333333333333,0.4642997842388182,0.2813908460896733,2980.8107487728907,0.3818685899625682,0.75,3905.5377350628683,16.97056274847714,278.4546641735419,153.7172729396407,192.49025949382477,110.51018052650171,0.002398081534772182,0.0,0.0,0.0
"('MED25', 'NUP43')",0.0,0.0,0.00014873006831172037,0.5,0.3333333333333333,0.5,0.0007989479648437478,0.44420321210701597,662.0377783782433,0.18645079513980212,0.75,15617.867620133038,23.33452377915607,114.68434941176587,91.46857383823145,338.39695625108686,29.068883707497267,0.015957446808510637,0.0,0.0981067125645439,0.0
"('PPP6R2', 'TCTEX1D2')",0.0,0.0,8.169220501149e-05,0.3333333333333333,0.0,0.0,0.5082609384801752,0.06339579624335864,876.6595690460465,0.21077221362291323,0.5,0.7071067811865476,0.0,108.3166653844181,0.0,0.0,15.811388300841896,0.0,0.0,0.0,0.0
"('HYLS1', 'PSEN1')",0.0,0.012658227848101266,0.00018486611995592792,0.5,0.0,0.0,0.7054105467418536,0.6706726070524427,1157.8849705389564,0.20821544984395135,0.75,912.8748545118328,80.39900496896712,82.74357981136663,36.062445840513924,153.4421715174808,61.05735008989499,0.00847457627118644,0.0,0.0,0.0
"('C19orf53', 'SDC3')",0.0,0.0,7.41489920186025e-05,0.3333333333333333,0.0,0.0,0.4090869001733238,0.10464464989416823,284.1449014147535,0.28199628765286966,0.6373774391990981,521.8448045156721,0.0,38.19031290785662,67.88225099390856,37.476659402887016,64.34671708797582,0.0,0.0,0.0,0.0
"('PRDM8', 'USH1C')",0.0,0.06818181818181818,0.00010297356771490326,0.25,0.0,0.0,1.9264123020929457e-12,0.27456311073577483,394.94392639968527,0.2236536996245694,0.6373774391990981,0.0,24.13503677229434,6.4031242374328485,3.5355339059327378,1.0,61.22499489587565,0.0,0.0,0.0,0.009615384615384616
